Rank,nctid,age,age_id
6119,NCT04666311,"18 Years and older  (Adult, Older Adult)",age_101
6120,NCT04333251,"18 Years and older  (Adult, Older Adult)",age_101
6121,NCT04740489,"18 Years and older  (Adult, Older Adult)",age_101
6130,NCT04799561,"18 Years and older  (Adult, Older Adult)",age_101
6132,NCT04744415,"18 Years and older  (Adult, Older Adult)",age_101
6133,NCT04828434,"18 Years and older  (Adult, Older Adult)",age_101
6138,NCT04895475,"18 Years and older  (Adult, Older Adult)",age_101
6141,NCT04514900,"18 Years and older  (Adult, Older Adult)",age_101
6145,NCT04393636,"18 Years and older  (Adult, Older Adult)",age_101
6153,NCT04428099,"18 Years and older  (Adult, Older Adult)",age_101
6154,NCT03708718,"18 Years and older  (Adult, Older Adult)",age_101
6158,NCT04833088,"18 Years and older  (Adult, Older Adult)",age_101
6159,NCT04595695,"18 Years and older  (Adult, Older Adult)",age_101
6161,NCT04396314,"18 Years and older  (Adult, Older Adult)",age_101
6164,NCT04629755,"18 Years and older  (Adult, Older Adult)",age_101
6165,NCT04456933,"18 Years and older  (Adult, Older Adult)",age_101
6166,NCT04470869,"18 Years and older  (Adult, Older Adult)",age_101
6167,NCT04768413,"18 Years and older  (Adult, Older Adult)",age_101
6168,NCT04805125,"18 Years and older  (Adult, Older Adult)",age_101
6176,NCT04530448,"18 Years and older  (Adult, Older Adult)",age_101
6177,NCT03852537,"18 Years and older  (Adult, Older Adult)",age_101
6179,NCT04356144,"18 Years and older  (Adult, Older Adult)",age_101
6182,NCT04568564,"18 Years and older  (Adult, Older Adult)",age_101
6184,NCT04884750,"18 Years and older  (Adult, Older Adult)",age_101
6187,NCT04333875,"18 Years and older  (Adult, Older Adult)",age_101
6189,NCT04889326,"18 Years and older  (Adult, Older Adult)",age_101
6190,NCT04663776,"18 Years and older  (Adult, Older Adult)",age_101
6192,NCT04666558,"18 Years and older  (Adult, Older Adult)",age_101
6193,NCT04497922,"18 Years and older  (Adult, Older Adult)",age_101
6194,NCT04363177,"18 Years and older  (Adult, Older Adult)",age_101
6196,NCT04974775,"18 Years and older  (Adult, Older Adult)",age_101
6197,NCT03680274,"18 Years and older  (Adult, Older Adult)",age_101
6200,NCT04569019,"18 Years and older  (Adult, Older Adult)",age_101
6205,NCT04873622,"18 Years and older  (Adult, Older Adult)",age_101
6206,NCT04816708,"18 Years and older  (Adult, Older Adult)",age_101
6209,NCT04326309,"18 Years and older  (Adult, Older Adult)",age_101
6210,NCT04983251,"18 Years and older  (Adult, Older Adult)",age_101
6212,NCT04379986,"18 Years and older  (Adult, Older Adult)",age_101
6214,NCT04107402,"18 Years and older  (Adult, Older Adult)",age_101
6215,NCT04862806,"18 Years and older  (Adult, Older Adult)",age_101
6216,NCT04574050,"18 Years and older  (Adult, Older Adult)",age_101
6217,NCT04473274,"18 Years and older  (Adult, Older Adult)",age_101
6219,NCT04770649,"18 Years and older  (Adult, Older Adult)",age_101
6226,NCT04329897,"18 Years and older  (Adult, Older Adult)",age_101
6228,NCT04657471,"18 Years and older  (Adult, Older Adult)",age_101
6230,NCT04865081,"18 Years and older  (Adult, Older Adult)",age_101
6233,NCT04363775,"18 Years and older  (Adult, Older Adult)",age_101
6239,NCT04939558,"18 Years and older  (Adult, Older Adult)",age_101
6240,NCT04432038,"18 Years and older  (Adult, Older Adult)",age_101
6241,NCT04424212,"18 Years and older  (Adult, Older Adult)",age_101
6243,NCT04699942,"18 Years and older  (Adult, Older Adult)",age_101
6244,NCT04523610,"18 Years and older  (Adult, Older Adult)",age_101
6247,NCT04646421,"18 Years and older  (Adult, Older Adult)",age_101
6252,NCT04693689,"18 Years and older  (Adult, Older Adult)",age_101
6253,NCT04683744,"18 Years and older  (Adult, Older Adult)",age_101
6254,NCT04748445,"18 Years and older  (Adult, Older Adult)",age_101
6256,NCT04502368,"18 Years and older  (Adult, Older Adult)",age_101
6258,NCT03262051,"18 Years and older  (Adult, Older Adult)",age_101
6261,NCT04240886,"18 Years and older  (Adult, Older Adult)",age_101
6265,NCT04763304,"18 Years and older  (Adult, Older Adult)",age_101
6268,NCT04589923,"18 Years and older  (Adult, Older Adult)",age_101
6272,NCT04621552,"18 Years and older  (Adult, Older Adult)",age_101
6276,NCT04897646,"18 Years and older  (Adult, Older Adult)",age_101
6278,NCT04939350,"18 Years and older  (Adult, Older Adult)",age_101
1770,NCT04530656,"18 Years and older   (Adult, Older Adult)",age_101
2293,NCT04352842,"18 Years and older   (Adult, Older Adult)",age_101
4028,NCT04618861,"18 Years and older   (Adult, Older Adult)",age_101
4297,NCT04573348,"18 Years and older   (Adult, Older Adult)",age_101
4484,NCT04395716,"18 Years and older   (Adult, Older Adult)",age_101
6277,NCT04684602,"18 Years and older   (Adult, Older Adult)",age_101
171,NCT04464408,"18 Years to 100 Years  (Adult, Older Adult)",age_102
247,NCT04497948,"18 Years to 100 Years  (Adult, Older Adult)",age_102
319,NCT04866082,"18 Years to 100 Years  (Adult, Older Adult)",age_102
375,NCT04452474,"18 Years to 100 Years  (Adult, Older Adult)",age_102
381,NCT04380519,"18 Years to 100 Years  (Adult, Older Adult)",age_102
527,NCT04484545,"18 Years to 100 Years  (Adult, Older Adult)",age_102
596,NCT04344444,"18 Years to 100 Years  (Adult, Older Adult)",age_102
610,NCT04348448,"18 Years to 100 Years  (Adult, Older Adult)",age_102
616,NCT04432961,"18 Years to 100 Years  (Adult, Older Adult)",age_102
716,NCT04883164,"18 Years to 100 Years  (Adult, Older Adult)",age_102
727,NCT04686773,"18 Years to 100 Years  (Adult, Older Adult)",age_102
730,NCT04830033,"18 Years to 100 Years  (Adult, Older Adult)",age_102
754,NCT04534790,"18 Years to 100 Years  (Adult, Older Adult)",age_102
806,NCT04542421,"18 Years to 100 Years  (Adult, Older Adult)",age_102
943,NCT04318301,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1167,NCT04559100,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1184,NCT04476706,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1420,NCT04839107,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1454,NCT04760730,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1525,NCT04497402,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1612,NCT04501458,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1637,NCT04665245,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1649,NCT04652115,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1701,NCT04647669,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1724,NCT04570462,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1882,NCT04625114,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1928,NCT04363502,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1931,NCT04384731,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1934,NCT04640181,"18 Years to 100 Years  (Adult, Older Adult)",age_102
1957,NCT04408170,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2018,NCT04887246,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2268,NCT04542980,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2295,NCT04393961,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2300,NCT04922905,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2334,NCT04530578,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2347,NCT04615975,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2359,NCT04348500,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2417,NCT04570189,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2425,NCT04602351,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2427,NCT04360824,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2496,NCT04864938,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2514,NCT04521400,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2535,NCT04359654,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2545,NCT04602507,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2630,NCT04393428,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2653,NCT04563442,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2804,NCT04567576,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2836,NCT04588792,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2859,NCT04628000,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2879,NCT04834934,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2889,NCT04405973,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2897,NCT04373811,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2899,NCT04667286,"18 Years to 100 Years  (Adult, Older Adult)",age_102
2904,NCT04510038,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3003,NCT04362150,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3189,NCT04652674,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3222,NCT04395742,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3349,NCT04378244,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3366,NCT04347694,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3377,NCT04477473,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3405,NCT04951323,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3498,NCT04743349,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3549,NCT04344249,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3707,NCT04311697,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3723,NCT04930003,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3757,NCT04530357,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3807,NCT04496245,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3820,NCT04632173,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3867,NCT04272710,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3920,NCT04542941,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3947,NCT04477902,"18 Years to 100 Years  (Adult, Older Adult)",age_102
3981,NCT04468009,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4031,NCT04620798,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4034,NCT04542512,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4057,NCT04685213,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4094,NCT04295551,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4098,NCT04448418,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4125,NCT04916834,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4161,NCT04568421,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4243,NCT04324528,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4244,NCT04860206,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4258,NCT04629703,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4279,NCT04385771,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4320,NCT04373291,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4325,NCT04750265,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4334,NCT04332835,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4515,NCT04581096,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4541,NCT04322565,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4557,NCT04410471,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4568,NCT04659200,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4592,NCT04378595,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4637,NCT04368637,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4653,NCT04791462,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4660,NCT04918914,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4684,NCT04570488,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4746,NCT04367129,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4905,NCT04867265,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4909,NCT04870736,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4916,NCT04339686,"18 Years to 100 Years  (Adult, Older Adult)",age_102
4926,NCT04799808,"18 Years to 100 Years  (Adult, Older Adult)",age_102
5016,NCT04387799,"18 Years to 100 Years  (Adult, Older Adult)",age_102
5128,NCT04510025,"18 Years to 100 Years  (Adult, Older Adult)",age_102
5129,NCT04324684,"18 Years to 100 Years  (Adult, Older Adult)",age_102
